,Assignee Location,Assignee Name,Fields,Patent Number,Title (Patent Number),fetched,Year,CPC Category
169,"Warren, MI",UNOVA-R & B MACHINES TOOL CO.,B,"6,193,925",#6193925,True,2001,"Performing Operations, Transporting"
170,"Nagoya, JP",CHUO HATSUJO KABUSHIKI KAISHA,F,"6,194,666",#6194666,True,2001,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
171,"Frankfurt, DE",MANNESMANN VDO AG,H,"6,194,797",#6194797,True,2001,Electricity
172,"Tokyo, JP",TDK CORPORATION,B,"6,194,896",#6194896,True,2001,"Performing Operations, Transporting"
173,"Yicheon, KR","HYUNDAI ELECTRONICS INDUSTRIES CO., LTD.",G,"6,194,954",#6194954,True,2001,Physics
174,"Salem, OR",AUTOMATED BATTING CAGES,A,"6,195,017",#6195017,True,2001,Human Necessities
175,"Houston, TX",DIGITAL EQUIPMENT CORPORATION,G,"6,195,377",#6195377,True,2001,Physics
176,"San Jose, CA","PRIME IMAGE, INC.",G,"6,195,387",#6195387,True,2001,Physics
177,"Tokyo, JP",SONY CORPORATION,G,"6,195,597",#6195597,True,2001,Physics
178,"Tokyo, JP",NEC CORPORATION,G,"6,195,753",#6195753,True,2001,Physics
179,"Paris, FRAutomobiles Citroen",AUTOMOBILES PEUGEOT,H,"6,195,785",#6195785,True,2001,Electricity
180,"Osaka, JP","MATSUSHITA ELECTRIC WORKS CO., LTD.",E,"6,195,810",#6195810,True,2001,Fixed Construction
182,"Denver, CO","JOHNS MANVILLE INTERNATIONAL, INC.",C,"6,196,029",#6196029,True,2001,"Chemistry, Metallurgy"
183,"Valparaiso, IN","UGIMAG, INC.",G,"6,196,047",#6196047,True,2001,Physics
186,"Petersburgh, NY",TONOGA LIMITED,B,"6,196,370",#6196370,True,2001,"Performing Operations, Transporting"
187,"Palo Alto, CA","INCYTE PHARMACEUTICALS, INC.",C,"6,197,512",#6197512,True,2001,"Chemistry, Metallurgy"
188,TWUnited Microelectronics Corp.,UNITED SEMICONDUCTOR CORP.,H,"6,197,673",#6197673,True,2001,Electricity
189,"Yuma, AZ","BARKLEY SEED, INC.",C,"6,197,952",#6197952,True,2001,"Chemistry, Metallurgy"
190,"Ballerup, DK",LEO PHARMACEUTICAL PRODUCTS LTD. A/S,C,"6,197,982",#6197982,True,2001,"Chemistry, Metallurgy"
191,"London, GB",BP CHEMICALS LIMITED,B,"6,197,997",#6197997,True,2001,"Performing Operations, Transporting"
193,"Hsin-chu, TW",VANGUARD INTERNATIONAL SEMICONDUCTOR CORPORATION,H,"6,198,121",#6198121,True,2001,Electricity
194,"Tokyo, JP",MITSUBISHI DENKI KABUSHIKI KAISHA,H,"6,198,135",#6198135,True,2001,Electricity
195,"Boise, ID","MICRON TECHNOLOGY, INC.",H,"6,198,144",#6198144,True,2001,Electricity
196,"Boulogne Cedex, FR",THOMSON LICENSING S.A.,G,"6,198,227",#6198227,True,2001,Physics
197,"Eden Prairie, MN",ROSEMOUNT INC.,G,"6,198,424",#6198424,True,2001,Physics
198,"Yokohama, JP","VICTOR COMPANY OF JAPAN, LTD.",G,"6,198,585",#6198585,True,2001,Physics
199,"Santa Clara, CA",INTEL CORPORATION,G,"6,198,684",#6198684,True,2001,Physics
200,"Rochester, NY",EASTMAN KODAK COMPANY,G,"6,198,881",#6198881,True,2001,Physics
201,"Peoria, IL",CATERPILLAR INC.,G,"6,199,007",#6199007,True,2001,Physics
202,"Taipei, TW",NATIONAL SCIENCE COUNCIL,G,"6,199,039",#6199039,True,2001,Physics
204,"Seguin, TX",ALAMO GROUP INC.,A,"6,199,357",#6199357,True,2001,Human Necessities
205,"Novi, MI",BRASS-CRAFT MANUFACTURING COMPANY,E,"6,199,581",#6199581,True,2001,Fixed Construction
206,"Dallas, TX","HALLIBURTON ENERGY SERVICES, INC.",E,"6,199,628",#6199628,True,2001,Fixed Construction
207,"Sandviken, SE",SANDVIK AB,E,"6,199,656",#6199656,True,2001,Fixed Construction
208,"Redlands, CA",VAN DIEST; DAVID ALBERT,A,"6,199,694",#6199694,True,2001,Human Necessities
209,"Ried im Innkreis, AT",FISCHER ADVANCED COMPOSITE COMPONENTS GESELLSCHAFT M.B.H.,B,"6,199,798",#6199798,True,2001,"Performing Operations, Transporting"
210,"Poing, DE",OCE PRINTING SYSTEMS GMBH,B,"6,199,859",#6199859,True,2001,"Performing Operations, Transporting"
211,"Cleveland, OH",CASE WESTERN RESERVE UNIVERSITY,G,"6,200,266",#6200266,True,2001,Physics
212,"Ludwigshafen, DE",BASF AKTIENGESELLSCHAFT,C,"6,201,034",#6201034,True,2001,"Chemistry, Metallurgy"
213,"Stamford, CT",XEROX CORPORATION,H,"6,201,293",#6201293,True,2001,Electricity
214,"Palo Alto, CA",AGILENT TECHNOLOGIES,G,"6,201,384",#6201384,True,2001,Physics
215,"Palo Alto, CA","SPACE SYSTEMS/LORAL, INC.",H,"6,201,508",#6201508,True,2001,Electricity
216,"Tewksbury, MA","AVID TECHNOLOGY, INC.",G,"6,201,531",#6201531,True,2001,Physics
217,"Palo Alto, CA",HEWLETT-PACKARD COMPANY,G,"6,201,711",#6201711,True,2001,Physics
218,"Curaco, AN",INNOCREATE N.V.,A,"6,201,768",#6201768,True,2001,Human Necessities
219,"Espoo, FI",NOKIA MOBILE PHONES LIMITED,H,"6,201,966",#6201966,True,2001,Electricity
220,"Osaka, JP","MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.",G,"6,202,049",#6202049,True,2001,Physics
221,"Redwood Shores, CA",ORACLE CORPORATION,G,"6,202,099",#6202099,True,2001,Physics
222,"Redmond, WA",MICROSOFT CORPORATION,G,"6,202,202",#6202202,True,2001,Physics
223,"Nagoya, JP","AOYAMA SEISAKUSHO CO., LTD.",B,"6,202,283",#6202283,True,2001,"Performing Operations, Transporting"
224,"Bridgewater, CA",KRAUSS INNOVATION LTD.,E,"6,202,383",#6202383,True,2001,Fixed Construction
225,"Manchester, NH",MCCORD WINN TEXTRON INC.,A,"6,203,105",#6203105,True,2001,Human Necessities
226,"Osaka, JP","MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.",H,"6,203,162",#6203162,True,2001,Electricity
227,"Middlebury, CT",TIMEX CORPORATION,G,"6,203,190",#6203190,True,2001,Physics
228,"Lisle, IL",MOLEX INCORPORATED,H,"6,203,373",#6203373,True,2001,Electricity
229,"Ibaraki, JPShin-Etsu Quartz Products Co., Ltd.","ATOCK CO., LTD.",B,"6,203,416",#6203416,True,2001,"Performing Operations, Transporting"
230,"Madison, WI","GRABER PRODUCTS, INC.",A,"6,203,472",#6203472,True,2001,Human Necessities
231,"Maple Grove, MN","SCIMED LIFE SYSTEMS, INC.",A,"6,203,485",#6203485,True,2001,Human Necessities
232,"Bothell, WA",ATL ULTRASOUND INC.,A,"6,203,499",#6203499,True,2001,Human Necessities
233,"Lexington, KY","LEXMARK INTERNATIONAL, INC.",H,"6,203,871",#6203871,True,2001,Electricity
234,"Tokyo, JP","KYODO PRINTING CO., LTD.",G,"6,203,951",#6203951,True,2001,Physics
235,"Hsinchu, TW","MOSEL VITELIC, INC.",H,"6,204,547",#6204547,True,2001,Electricity
236,"Kyungki-do, KR","SAMSUNG DISPLAY DEVICES CO., LTD.",H,"6,204,600",#6204600,True,2001,Electricity
239,"Cincinnati, OH",GENERAL ELECTRIC COMPANY,G,"6,205,009",#6205009,True,2001,Physics
240,"Tokyo, JP",NEC CORPORATION,G,"6,205,065",#6205065,True,2001,Physics
241,"Shawnee, KS",BLOUNT; RODNEY K.,G,"6,205,090",#6205090,True,2001,Physics
242,"Largo, FL","ONCOLOGY INNOVATIONS, INC.",A,"6,205,352",#6205352,True,2001,Human Necessities
243,"Birmingham, AL",UAB RESEARCH FOUNDATION,A,"6,205,357",#6205357,True,2001,Human Necessities
244,"Stuttgart, DE",DAIMLERCHRYSLER AG,B,"6,205,382",#6205382,True,2001,"Performing Operations, Transporting"
245,"Tampere, FI",SAJAKORPI OY,A,"6,205,609",#6205609,True,2001,Human Necessities
246,"Osaka-fu, JP","MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD",H,"6,205,655",#6205655,True,2001,Electricity
247,"Middlebury, CT",CRUTCHER; WILLIAM C.,A,"6,205,704",#6205704,True,2001,Human Necessities
249,"Burlington, VT","AMERICA'S GARDENING RESOURCE, INC.",A,"6,205,706",#6205706,True,2001,Human Necessities
250,"Westfield, MA","FORMTEK, INC.",B,"6,205,898",#6205898,True,2001,"Performing Operations, Transporting"
251,"Columbia Heights, MN",COMEDICUS INCORPORATED,A,"6,206,004",#6206004,True,2001,Human Necessities
252,"Houston, TX","OSCA, INC.",E,"6,206,100",#6206100,True,2001,Fixed Construction
253,"Portland, OR",ALTERRA HOLDINGS CORPORATION,B,"6,206,243",#6206243,True,2001,"Performing Operations, Transporting"
254,"Kohler, WI",KOHLER COMPANY,E,"6,206,340",#6206340,True,2001,Fixed Construction
255,"Hypoluxo, FL","BENCHMARK ENTERTAIMENT, L.C.",G,"6,206,370",#6206370,True,2001,Physics
257,"Stuttgart, DE",DAIMLERCHRYSLER AG,A,"6,206,465",#6206465,True,2001,Human Necessities
259,"Tokyo, JP","HITACHI, LTD.",C,"6,206,634",#6206634,True,2001,"Chemistry, Metallurgy"
260,"Cincinnati, OH",GENERAL ELECTRIC COMPANY,F,"6,206,638",#6206638,True,2001,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
261,"Puteaux, FR",SOLLAC,C,"6,207,299",#6207299,True,2001,"Chemistry, Metallurgy"
262,"Solon, OH",FIBERSTORS INCORPORATED,C,"6,207,747",#6207747,True,2001,"Chemistry, Metallurgy"
263,"West Caldwell, NJ","MERRIMAC INDUSTRIES, INC.",H,"6,208,220",#6208220,True,2001,Electricity
264,"Woburn, MA","NEW DIMENSION RESEARCH & INSTRUMENT, INC.",G,"6,208,609",#6208609,True,2001,Physics
265,"Osaka, JP","MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.",G,"6,208,838",#6208838,True,2001,Physics
266,"Oakland, CANava; John",FARNSWORTH; DONALD,A,"6,209,248",#6209248,True,2001,Human Necessities
267,"Mississauga, CA",CAMCO INC.,F,"6,209,265",#6209265,True,2001,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
268,"Grand Rapids, MI",STEELCASE DEVELOPMENT INC.,G,"6,209,266",#6209266,True,2001,Physics
270,"Berkeley, CA",NEWGARDEN-SEALS; PEGGY,A,"6,209,769",#6209769,True,2001,Human Necessities
271,"Schiltach, DE",HANSGROHE AG,B,"6,209,799",#6209799,True,2001,"Performing Operations, Transporting"
272,"York, PA","SKF USA, INC.",E,"6,210,043",#6210043,True,2001,Fixed Construction
275,"Tillson, NY","GAMING EDGE PRODUCTS, L.L.C.",F,"6,210,267",#6210267,True,2001,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
276,"Mountain View, CA",ALZA CORPORATION,A,"6,210,712",#6210712,True,2001,Human Necessities
278,"Osaka, JP","TAKEDA CHEMICAL INDUSTRIES, LTD.",A,"6,211,178",#6211178,True,2001,Human Necessities
280,"Bloomfield Hills, MI","GX ASSOCIATES, INC",C,"6,211,290",#6211290,True,2001,"Chemistry, Metallurgy"
281,"Tokyo, JP",MITSUBISHI DENKI KABUSHIKI KAISHA,G,"6,211,520",#6211520,True,2001,Physics
282,"Taichung, TW","RHINE ELECTRONIC CO., LTD.",F,"6,211,632",#6211632,True,2001,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
283,"Stamford, CT",XEROX CORPORATION,G,"6,211,998",#6211998,True,2001,Physics
284,"Kawasaki, JP",FUJITSU LIMITED,H,"6,212,373",#6212373,True,2001,Electricity
285,"Poulsbo, WA",J&J ENGINEERING,A,"6,212,427",#6212427,True,2001,Human Necessities
286,"Tokyo, JP",MITSUBISHI DENKI KABUSHIKI KAISHA,G,"6,212,646",#6212646,True,2001,Physics
287,"Lake Forest, CA",FIRST YEARS INC.,A,"6,212,706",#6212706,True,2001,Human Necessities
288,"Visalia, CA","VANDERGRIFF, INC.",D,"6,212,736",#6212736,True,2001,"Textiles, Paper"
289,"Tokyo, JP","HITACHI, LTD.",B,"6,212,880",#6212880,True,2001,"Performing Operations, Transporting"
290,"Toulouse Cedex, FR",SIEMENS AUTOMOTIVE S.A.,G,"6,212,940",#6212940,True,2001,Physics
291,"London, GB",DUALIT LIMITED,A,"6,213,001",#6213001,True,2001,Human Necessities
292,"Garland, TX","ODYSSEY PAINTBALL PRODUCTS, INC.",F,"6,213,110",#6213110,True,2001,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
293,"Brentwood, TN","GABRIEL RIDE CONTROL PRODUCTS, INC.",F,"6,213,262",#6213262,True,2001,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
294,"Foxboro, MA",THE FOXBORO COMPANY,H,"6,213,577",#6213577,True,2001,Electricity
296,"Hsinchu, TW",WINBOND ELECTRONICS CORP.,G,"6,213,636",#6213636,True,2001,Physics
297,"Grayville, IL","KASHA INDUSTRIES, INC.",B,"6,213,746",#6213746,True,2001,"Performing Operations, Transporting"
298,"Denver, CO","JOHNS MANSVILLE INTERNATIONAL, INC.",D,"6,214,143",#6214143,True,2001,"Textiles, Paper"
299,"Newbury, OH",KINETICO INCORPORATED,C,"6,214,214",#6214214,True,2001,"Chemistry, Metallurgy"
300,"Balmain, AU",SILVERBROOK RESEARCH PTY LTD.,B,"6,214,244",#6214244,True,2001,"Performing Operations, Transporting"
301,NLStichting Voor de Technische Wetenschappen,TECHNISCHE UNIVERSITEIT DELFT,B,"6,214,305",#6214305,True,2001,"Performing Operations, Transporting"
302,"Osaka, JPInternational Catalyst Technology Incorporated","ICT CO., LTD.",B,"6,214,307",#6214307,True,2001,"Performing Operations, Transporting"
303,"Hoofddorp, NL",FERRING BV,C,"6,214,798",#6214798,True,2001,"Chemistry, Metallurgy"
305,"Neenah, WI","KIMBERLY-CLARK WORLDWIDE, INC.",B,"6,214,933",#6214933,True,2001,"Performing Operations, Transporting"
306,"Tokyo, JPJapan Science Technology Corporation",NOF CORPORATION,A,"6,214,957",#6214957,True,2001,Human Necessities
307,"San Diego, CARose; Floyd D.",HIATT; ANDREW C.,C,"6,214,987",#6214987,True,2001,"Chemistry, Metallurgy"
308,"Melville, NY","V.I. TECHNOLOGIES, INC.",C,"6,215,003",#6215003,True,2001,"Chemistry, Metallurgy"
309,"Tokyo, JP",CANON KABUSHIKI KAISHA,G,"6,215,560",#6215560,True,2001,Physics
311,"Kawasaki, JP",FUJITSU LIMITED,G,"6,215,912",#6215912,True,2001,Physics
312,"Tokyo, JP",CANON KABUSHIKI KAISHA,G,"6,215,965",#6215965,True,2001,Physics
313,"Armonk, NY",INTERNATIONAL BUSINESS MACHINES CORPORATION,G,"6,216,050",#6216050,True,2001,Physics
314,"Tokyo, JP","HITACHI, LTD.",G,"6,216,179",#6216179,True,2001,Physics
315,"Lod, IL",ARPAL ALUMINUM LTD.,E,"6,216,401",#6216401,True,2001,Fixed Construction
316,"Tokyo, JP","JIDOSHA KIKI CO., LTD.",B,"6,216,580",#6216580,True,2001,"Performing Operations, Transporting"
317,"Tokyo, JP",CANON KABUSHIKI KAISHA,B,"6,217,143",#6217143,True,2001,"Performing Operations, Transporting"
318,"Eden Prairie, MN",IRIS DEVELOPMENT CORPORATION,A,"6,217,334",#6217334,True,2001,Human Necessities
319,"Roscoe, IL","ARROWSWIFT, INC.",B,"6,217,398",#6217398,True,2001,"Performing Operations, Transporting"
320,"Laurinburg, NC",ZF MERITOR,F,"6,217,475",#6217475,True,2001,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
322,"Mountian View, CA","EMBOL-X, INC.",A,"6,217,548",#6217548,True,2001,Human Necessities
323,"Stamford, CT",WESTVACO CORPORATION,C,"6,217,625",#6217625,True,2001,"Chemistry, Metallurgy"
324,"Pittsburgh, PA",UNIVERSITY OF PITTSBURGH,A,"6,217,826",#6217826,True,2001,Human Necessities
325,"Burnaby, CA",SIMON FRASER UNIVERSITY,A,"6,217,891",#6217891,True,2001,Human Necessities
326,"St. Priest, FR",HASSAN BENAMEUR,A,"6,217,899",#6217899,True,2001,Human Necessities
327,"Boston, MA",CABOT CORPORATION,G,"6,218,067",#6218067,True,2001,Physics
328,"Wilmington, DE",DUPONT PHARMACEUTICALS COMPANY,C,"6,218,391",#6218391,True,2001,"Chemistry, Metallurgy"
329,"Phila., PA",ROHM AND HAAS COMPANY,C,"6,218,464",#6218464,True,2001,"Chemistry, Metallurgy"
330,"Kanagawa, JP","FUJI PHOTO FILM CO., LTD.",H,"6,218,630",#6218630,True,2001,Electricity
331,"Paris, FR",SAGEM S.A.,B,"6,218,937",#6218937,True,2001,"Performing Operations, Transporting"
332,"Kanagawa, JP","FUJI PHOTO FILM CO., LTD.",G,"6,219,128",#6219128,True,2001,Physics
333,"Kawasaki, JP",KABUSHIKI KAISHA TOSHIBA,H,"6,219,349",#6219349,True,2001,Electricity
334,"Tokyo, JP",SONY CORPORATION,H,"6,219,455",#6219455,True,2001,Electricity
336,"Bologna, IT",G. D SOCIETA PER AZIONI,B,"6,219,999",#6219999,True,2001,"Performing Operations, Transporting"
337,"Faenza, IT",RESTA S.R.L.,B,"6,220,457",#6220457,True,2001,"Performing Operations, Transporting"
338,"Boise, ID","MICRON TECHNOLOGY, INC.",G,"6,220,516",#6220516,True,2001,Physics
339,"Seattle, WA",THE BOEING COMPANY,B,"6,220,546",#6220546,True,2001,"Performing Operations, Transporting"
341,"Osaka, JP","MINOLTA CO., LTD.",G,"6,220,712",#6220712,True,2001,Physics
342,"Iselin, NJ",ENGELHARD CORPORATION,C,"6,221,148",#6221148,True,2001,"Chemistry, Metallurgy"
345,JPPrime Optical Fiber Corporation,"SHOWA ELECTRIC WIRE & CABLE CO., LTD.",G,"6,221,555",#6221555,True,2001,Physics
346,"Nottingham, GB",QUADRANT HOLDINGS CAMBRIDGE LTD.,A,"6,221,575",#6221575,True,2001,Human Necessities
347,"Rio de Janeiro, BR",PETROLEO BRASILEIRO S.A.-PETROBRAS,C,"6,221,651",#6221651,True,2001,"Chemistry, Metallurgy"
348,JP,NEC CORPORATION,H,"6,221,760",#6221760,True,2001,Electricity
349,"Rahway, NJ","MERCK & CO., INC.",A,"6,221,859",#6221859,True,2001,Human Necessities
350,"Heerlen, NL",DSM N.V.,C,"6,221,964",#6221964,True,2001,"Chemistry, Metallurgy"
351,JP,SEIKO INSTRUMENTS INC.,C,"6,222,604",#6222604,True,2001,"Chemistry, Metallurgy"
352,"Kawaguchi, JPNitto Jushi Kogyo Kabushiki Kaisha",ENPLAS CORPORATION,G,"6,222,689",#6222689,True,2001,Physics
353,"Redmond, WA",MICROSOFT CORPORATION,G,"6,222,937",#6222937,True,2001,Physics
354,"Barneveld, NL",BAAN DEVELOPMENT B.V.,G,"6,223,170",#6223170,True,2001,Physics
355,"Palo Alto, CA","SUN MICROSYSTEMS, INC.",G,"6,223,335",#6223335,True,2001,Physics
356,"Novedrate/Como, IT",ARTURE SALICE S.P.A.,E,"6,223,394",#6223394,True,2001,Fixed Construction
357,"Raleigh, NC",ABB POWER T&D COMPANY INC.,B,"6,223,421",#6223421,True,2001,"Performing Operations, Transporting"
359,"Morristown, NJ",HONEYWELL INTERNATIONAL INC.,G,"6,223,593",#6223593,True,2001,Physics
362,"Rugby, GB",FEDERAL-MOGUL TECHNOLOGY LIMITED,B,"6,223,863",#6223863,True,2001,"Performing Operations, Transporting"
363,"Lyndhurst, OH",TRW INC.,B,"6,224,088",#6224088,True,2001,"Performing Operations, Transporting"
364,"Toyota, JPAisin Seiki Kabushiki Kaisha","TAKASHIMAYA NIPPATSU KOGYO CO., LTD",B,"6,224,130",#6224130,True,2001,"Performing Operations, Transporting"
365,"Livermore, CA",SANDIA CORPORATION,F,"6,224,728",#6224728,True,2001,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
366,"Nagoya, JP",BROTHER KOGYO KABUSHIKI KAISHA,B,"6,224,806",#6224806,True,2001,"Performing Operations, Transporting"
367,"Paris, FR",L'OREAL,A,"6,224,851",#6224851,True,2001,Human Necessities
368,"Sunnyvale, CA","ADVANCED MICRO DEVICES, INC.",H,"6,225,201",#6225201,True,2001,Electricity
369,"Neenah, WI","KIMBERLY-CLARK WORLDWIDE, INC.",A,"6,225,388",#6225388,True,2001,Human Necessities
370,"Aurora, CO","INVENUX, INC.",C,"6,225,500",#6225500,True,2001,"Chemistry, Metallurgy"
371,TW,WORLDWIDE SEMICONDUCTOR MANFACTURING CORP.,H,"6,225,660",#6225660,True,2001,Electricity
372,"Kawasaki, JP",KABUSHIKI KAISHA TOSHIBA,H,"6,225,766",#6225766,True,2001,Electricity
373,"Santa Clara, CA",INTEL CORPORATION,G,"6,226,015",#6226015,True,2001,Physics
374,"Espoo, FI",NOKIA MOBILE PHONES LIMITED,G,"6,226,189",#6226189,True,2001,Physics
375,"Dallas, TX",TEXAS INSTRUMENTS INCORPORATED,G,"6,226,664",#6226664,True,2001,Physics
376,"Freeport, IL",NEWELL OPERATING COMPANY,E,"6,226,835",#6226835,True,2001,Fixed Construction
377,RU,"OTKRYTOE AKTSIONERNOE OBSCHESTVO NAUCHNO-PROIZVODSTVENNOE OBIEDINENIE ""ENERGOMASH"" IMENI AKADEMIKA V.P. GLUSHKO",F,"6,226,980",#6226980,True,2001,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
378,"Osaka, JP","SHIMANO, INC.",B,"6,227,070",#6227070,True,2001,"Performing Operations, Transporting"
380,"Dearborn, MIHalla Climate Control Corp.","VISTEON GLOBAL TECHNOLOGIES, INC.",F,"6,227,811",#6227811,True,2001,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
381,"Gothenburg, SE",NOBEL BIOCARE AB,A,"6,227,858",#6227858,True,2001,Human Necessities
383,"Chicago, IL","HELENE CURTIS, INC.",A,"6,228,353",#6228353,True,2001,Human Necessities
384,"Tokyo, JP",TOKYO ELECTRON LIMITED,G,"6,228,561",#6228561,True,2001,Physics
385,"Hsinchu, TW",UNITED MICROELECTRONICS CORP.,H,"6,228,689",#6228689,True,2001,Electricity
386,"Santa Clara, CA",INTEL CORPORATION,H,"6,228,777",#6228777,True,2001,Electricity
387,"Tokyo, JP",DUPONT MITSUI FLUOROCHEMICALS,C,"6,228,932",#6228932,True,2001,"Chemistry, Metallurgy"
389,"Armonk, NY",INTERNATIONAL BUSINESS MACHINES CORPORATION,H,"6,229,372",#6229372,True,2001,Electricity
390,"Armonk, NY",INTERNATIONAL BUSINESS MACHINES CORPORATION,G,"6,230,196",#6230196,True,2001,Physics
391,"Santa Clara, CA",INTEL CORPORATION,G,"6,230,274",#6230274,True,2001,Physics
392,"Naples, FL",BERGER; CONSTANCE F.,A,"6,230,370",#6230370,True,2001,Human Necessities
393,"Ephrata, PA","STAUFFER DIESEL, INC.",F,"6,230,667",#6230667,True,2001,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
396,"Stuttgart, DE",ROBERT BOSCH GMBH,F,"6,230,842",#6230842,True,2001,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
399,"Tulsa, OK","QR SPEX, INC.",G,"6,231,181",#6231181,True,2001,Physics
401,"Darmstadt, DE",ROEHM GMBH,B,"6,231,799",#6231799,True,2001,"Performing Operations, Transporting"
403,"Indianapolis, IN",ELI LILLY AND COMPANY,C,"6,232,102",#6232102,True,2001,"Chemistry, Metallurgy"
404,"Tokyo, JP",MITUBISHI DENKI KABUSHIKI KAISHA,H,"6,232,192",#6232192,True,2001,Electricity
405,"Sunnyvale, CA","ADVANCED MICRO DEVICES, INC.",H,"6,232,221",#6232221,True,2001,Electricity
406,"Paris, FR",ALSTOM,H,"6,232,571",#6232571,True,2001,Electricity
407,"University Park, PA",THE PENN STATE RESEARCH FOUNDATION,G,"6,232,702",#6232702,True,2001,Physics
408,"Armonk, NY",INTERNATIONAL BUSINESS MACHINES CORPORATION,G,"6,233,213",#6233213,True,2001,Physics
409,"Rochester, NY",EASTMAN KODAK COMPANY,B,"6,233,408",#6233408,True,2001,"Performing Operations, Transporting"
410,"Grand Cayman, KY",3COM TECHNOLOGIES,G,"6,233,651",#6233651,True,2001,Physics
412,"Montauban, FR",MATERIEL POUR L'ARBORICULTURE FRUITIERE,B,"6,234,297",#6234297,True,2001,"Performing Operations, Transporting"
413,"Neuhausen-Hamberg, DE",LENHARDT MASCHINENBAU GMBH,B,"6,234,355",#6234355,True,2001,"Performing Operations, Transporting"
414,"Tokyo, JP",YAZAKI CORPORATION,B,"6,234,429",#6234429,True,2001,"Performing Operations, Transporting"
415,"Waldachtal, DE",FISCHERWERKE ARTUR FISCHER GMBH & CO. KG,B,"6,234,438",#6234438,True,2001,"Performing Operations, Transporting"
416,"Southfield, MI","FEDERAL-MOGUL WORLD WIDE, INC.",B,"6,234,439",#6234439,True,2001,"Performing Operations, Transporting"
417,"Tokyo, JP",YUGEN KAISHA A.G.O.,A,"6,234,794",#6234794,True,2001,Human Necessities
418,"Taipei Hsien, TW","HON HAI PRECISION IND. CO., LTD.",H,"6,234,837",#6234837,True,2001,Electricity
419,GB,FEDERAL-MOGUL ENGINEERING LIMITED,B,"6,234,949",#6234949,True,2001,"Performing Operations, Transporting"
420,"Berkeley, CA",SCIENTIFIC LEARNING CORPORATION,A,"6,234,979",#6234979,True,2001,Human Necessities
421,"Philadelphia, PA",SMITHKLINE BEECHAM CORPORATION,A,"6,235,008",#6235008,True,2001,Human Necessities
422,"Chapel Hill, NC",THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,A,"6,235,266",#6235266,True,2001,Human Necessities
423,"Athens, GAAmerican Cyanamid Co.,","UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",A,"6,235,278",#6235278,True,2001,Human Necessities
424,"Osaka, JP","FUJICOPIAN CO., LTD.",C,"6,235,364",#6235364,True,2001,"Chemistry, Metallurgy"
425,"Guilford, CTWardlaw Partners, LP",LEVINE; ROBERT A.,G,"6,235,536",#6235536,True,2001,Physics
426,"Sunnyvale, CA","ADVANCED MICRO DEVICES, INC.",H,"6,235,599",#6235599,True,2001,Electricity
427,"Ludwigshafen, DE",BASF AKTIENGESELLSCHAFT,C,"6,235,704",#6235704,True,2001,"Chemistry, Metallurgy"
428,KanagawaN/AKabushiki Kaisha Toshiba,"FUJI PHOTO FILM CO., LTD.",H,"6,236,434",#6236434,True,2001,Electricity
429,"Tokyo, JP",ASAHI KOGAKU KOGYO KABUSHIKI KAISHA,G,"6,236,518",#6236518,True,2001,Physics
430,"Armonk, NY",INTERNATIONAL BUSINESS MACHINES CORPORATION,G,"6,236,958",#6236958,True,2001,Physics
431,"Armonk, NY",INTERNATIONAL BUSINESS MACHINES CORPORATION,G,"6,237,100",#6237100,True,2001,Physics
433,"Yokohama, JP","NISSAN MOTOR CO., LTD.",B,"6,237,330",#6237330,True,2001,"Performing Operations, Transporting"
435,"Hiroshima-Ken, JP",RYOBI LTD.,B,"6,237,491",#6237491,True,2001,"Performing Operations, Transporting"
436,"San Diego, CA","DURA PHARMACEUTICALS, INC.",A,"6,237,591",#6237591,True,2001,Human Necessities
437,"Munich, DE",HEILMEIER & WEINLEIN FABRIK FUR OEL-HYDRAULIK GMBH & CO.,F,"6,237,624",#6237624,True,2001,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
438,"Naperville, IL",NICOR TECHNOLOGIES,B,"6,237,640",#6237640,True,2001,"Performing Operations, Transporting"
